country,state,city,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,AQI,AQI_Bucket,Temperature_C,Humidity_%,Wind_Speed_kmh
India,Andhra Pradesh,Kadapa,OZONE,39,41,40,20,Good,23.8,68.2,10.6
India,Andhra Pradesh,Machilipatnam,NO2,13,33,18,15,Good,30.6,60.3,19.1
India,Andhra Pradesh,Machilipatnam,NH3,3,5,4,1,Good,28.4,44.3,8.8
India,Andhra Pradesh,Nellore,PM10,45,106,66,96,Moderate,39.6,38.9,2.5
India,Andhra Pradesh,Rajamahendravaram,PM2.5,5,19,11,12,Good,21.4,47.7,28.3
India,Andhra Pradesh,Tirumala,SO2,4,10,6,21,Good,15.9,46.9,16.4
India,Andhra Pradesh,Tirumala,CO,12,22,17,3,Good,37.8,34.3,4.8
India,Andhra Pradesh,Tirupati,PM2.5,32,46,37,37,Good,31.3,86.2,21.8
India,Andhra Pradesh,Tirupati,PM10,55,66,59,64,Moderate,26.6,92.5,14.1
India,Andhra Pradesh,Vijayawada,PM2.5,47,87,65,67,Moderate,31.2,76.2,7.8
India,Andhra Pradesh,Vijayawada,PM10,48,87,66,56,Moderate,23.2,69.2,13.5
India,Andhra Pradesh,Vijayawada,NO2,14,23,17,22,Good,36,38,18.9
India,Andhra Pradesh,Vijayawada,NH3,3,5,4,39,Good,26.9,65,11.3
India,Andhra Pradesh,Vijayawada,NH3,4,6,5,19,Good,31.3,31,19.1
India,Andhra Pradesh,Visakhapatnam,PM2.5,13,97,44,25,Good,16.4,36.9,13.2
India,Andhra Pradesh,Visakhapatnam,NH3,3,3,3,27,Good,24.7,69.4,15.9
India,Arunachal Pradesh,Naharlagun,NH3,1,1,1,25,Good,25,71.4,3.2
India,Arunachal Pradesh,Naharlagun,SO2,10,17,12,27,Good,30.2,58.9,0.3
India,Assam,Byrnihat,PM10,58,120,80,74,Moderate,30.2,40.9,29.8
India,Assam,Guwahati,CO,36,45,40,46,Good,36.6,56.2,26.8
India,Assam,Guwahati,NO2,3,3,3,19,Good,18.1,69.1,2.4
India,Assam,Guwahati,NO2,1,3,2,47,Good,19.7,46.4,18.7
India,Assam,Guwahati,NH3,5,5,5,16,Good,26,63.3,20.1
India,Assam,Guwahati,SO2,40,43,41,10,Good,25.6,88.2,27.3
India,Assam,Guwahati,OZONE,1,16,6,13,Good,23.2,55.8,9.6
India,Assam,Guwahati,NH3,1,1,1,21,Good,23.1,85.4,21.7
India,Assam,Guwahati,SO2,29,32,31,31,Good,39.2,90.5,19.2
