state,city,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,AQI,AQI_Bucket,Temperature_C,Humidity_%,Wind_Speed_kmh
Andhra Pradesh,Kadapa,OZONE,39.0,41.0,40.0,20,Good,23.8,68.2,10.6
Andhra Pradesh,Machilipatnam,NO2,13.0,33.0,18.0,15,Good,30.6,60.3,19.1
Andhra Pradesh,Machilipatnam,NH3,3.0,5.0,4.0,1,Good,28.4,44.3,8.8
Andhra Pradesh,Nellore,PM10,45.0,106.0,66.0,96,Moderate,39.6,38.9,2.5
Andhra Pradesh,Rajamahendravaram,PM2.5,5.0,19.0,11.0,12,Good,21.4,47.7,28.3
Andhra Pradesh,Tirumala,SO2,4.0,10.0,6.0,21,Good,15.9,46.9,16.4
Andhra Pradesh,Tirumala,CO,12.0,22.0,17.0,3,Good,37.8,34.3,4.8
Andhra Pradesh,Tirupati,PM2.5,32.0,46.0,37.0,37,Good,31.3,86.2,21.8
Andhra Pradesh,Tirupati,PM10,55.0,66.0,59.0,64,Moderate,26.6,92.5,14.1
Andhra Pradesh,Vijayawada,PM2.5,47.0,87.0,65.0,67,Moderate,31.2,76.2,7.8
Andhra Pradesh,Vijayawada,PM10,48.0,87.0,66.0,56,Moderate,23.2,69.2,13.5
Andhra Pradesh,Vijayawada,NO2,14.0,23.0,17.0,22,Good,36.0,38.0,18.9
Andhra Pradesh,Vijayawada,NH3,3.0,5.0,4.0,39,Good,26.9,65.0,11.3
Andhra Pradesh,Vijayawada,NH3,4.0,6.0,5.0,19,Good,31.3,31.0,19.1
Andhra Pradesh,Visakhapatnam,PM2.5,13.0,97.0,44.0,25,Good,16.4,36.9,13.2
Andhra Pradesh,Visakhapatnam,NH3,3.0,3.0,3.0,27,Good,24.7,69.4,15.9
Arunachal Pradesh,Naharlagun,NH3,1.0,1.0,1.0,25,Good,25.0,71.4,3.2
Arunachal Pradesh,Naharlagun,SO2,10.0,17.0,12.0,27,Good,30.2,58.9,0.3
